merchant_name,canonical_category,region,contact_phone,contact_email,registration_date,region_pic_email,source_submission_id,duplicates_collapsed
Pusat Gemilang,Health & Beauty,East Coast,099511964,pusatgemilan37@outlook.com,2026-05-08,nurul.huda@example-ops.test,B050,
Warung Kasih Resources,Electronics & Repair,Northern,046730950,warungkasihr8@outlook.com,2026-01-07,weiming.tan@example-ops.test,B015,submissions_partnerB.csv - B032
Maju Bahagia,Professional Services,East Coast,090400441,majubahagia1@yahoo.com,2026-03-07,nurul.huda@example-ops.test,B038,
Bestari Fajar Enterprise,Health & Beauty,Sabah,0889532296,bestarifajar99@yahoo.com,2026-02-09,jeffrey.lojuki@example-ops.test,B034,
Harmoni Bahagia Enterprise,Electronics & Repair,Northern,044312256,harmonibahag15@outlook.com,2026-03-25,weiming.tan@example-ops.test,B016,
Sejahtera Damai Enterprise,Health & Beauty,Central,035631734,sejahteradam72@gmail.com,2026-04-22,aishah.rahman@example-ops.test,B055,
Harmoni Selera Sdn Bhd,Home & Living,East Coast,094122687,harmoniseler10@gmail.com,2026-04-09,nurul.huda@example-ops.test,B045,
Sinar Mutiara Enterprise,Fashion & Apparel,Sarawak,0824781102,sinarmutiara63@yahoo.com,2026-05-13,margaret.anyi@example-ops.test,B041,submissions_partnerB.csv - B044
Pusat Impian Holdings,Home & Living,Sabah,0883666498,pusatimpianh82@outlook.com,2026-03-23,jeffrey.lojuki@example-ops.test,B018,submissions_partnerB.csv - B005
Harmoni Anugerah Resources,Grocery & Convenience,Sarawak,0821758338,harmonianuge73@gmail.com,2026-02-05,margaret.anyi@example-ops.test,B040,
Harmoni Impian Enterprise,Electronics & Repair,Central,034325871,harmoniimpia36@biz.test,2026-03-10,aishah.rahman@example-ops.test,B057,submissions_partnerA.csv - A052
Kedai Lestari,Electronics & Repair,Sarawak,0829536169,kedailestari13@yahoo.com,2026-05-25,margaret.anyi@example-ops.test,B004,
Bestari Anugerah Sdn Bhd,Fashion & Apparel,Northern,043293882,bestarianuge93@biz.test,2026-01-27,weiming.tan@example-ops.test,B063,
Gerai Lestari Holdings,Professional Services,Southern,075305517,gerailestari68@gmail.com,2026-02-01,devraj.pillai@example-ops.test,B006,submissions_partnerC.csv - C057
Kedai Anugerah Sdn Bhd,Health & Beauty,Southern,078450629,kedaianugera93@outlook.com,2026-02-27,devraj.pillai@example-ops.test,B011,
